"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 23 23:52:00 UTC 2026","Sat May 23 23:52:03 UTC 2026","2592","tests.e2e.contacts","test_contact_create_and_delete","TestContactCreateAndDelete","","","POST /attachments (photo) → POST contact → GET verify → DELETE","/Contacts — upload photo, create, GET verify, delete flow"
"passed","Sat May 23 23:46:22 UTC 2026","Sat May 23 23:46:23 UTC 2026","639","tests.api.cards","test_card_attributes_list","TestCardAttributesList","","","GET /cards/{id}/attributes/","
    GET /cards/{id}/attributes/
    "
"passed","Sat May 23 23:51:43 UTC 2026","Sat May 23 23:51:44 UTC 2026","691","tests.api.locations","test_locations_list","TestLocationsList","","","GET /Locations with locationID returns location map","
    /Locations?locationID=1
    "
"passed","Sat May 23 23:45:10 UTC 2026","Sat May 23 23:45:12 UTC 2026","1780","tests.api.account_actions","test_account_actions_smoke","TestAccountActionsSmoke","","","012 -> 020 smoke with actionJwt",""
"passed","Sat May 23 23:52:10 UTC 2026","Sat May 23 23:52:20 UTC 2026","9502","tests.e2e.employee","test_employee_invitation_add_moveincompany_delete_flow","TestEmployeeInvitationAddMoveInCompanyDeleteFlow","","","POST invitations x4 → list → PATCH move → list in target → DELETE → absent in target","/Employee — create 4 via invitation, verify, move to target company, verify, delete flow"
"passed","Sat May 23 23:47:15 UTC 2026","Sat May 23 23:47:17 UTC 2026","1367","tests.api.cards","test_cardlinks_card","TestCardLinksCard","","","POST /Cards -> GET /cardLinks/{cardLink}/card -> DELETE /Cards/{id}","
    /cardLinks/{cardLink}/card
    "
"passed","Sat May 23 23:45:53 UTC 2026","Sat May 23 23:45:54 UTC 2026","980","tests.api.accounts","test_accounts_contacts","TestAccountsContacts","","","GET /accounts/contacts → 200/206, validate response structure","
    /accounts/contacts
    "
"passed","Sat May 23 23:48:43 UTC 2026","Sat May 23 23:48:44 UTC 2026","1301","tests.api.cards","test_cards_designsettings_update_flow","TestCardsDesignsettingsUpdateFlow","","","POST /Cards -> PUT /Cards/{id}/designsettings -> GET /Cards/{id}/designsettings -> DELETE /Cards/{id}","
    /Cards/{cardID}/designsettings
    "
"passed","Sat May 23 23:46:26 UTC 2026","Sat May 23 23:46:27 UTC 2026","1957","tests.api.cards","test_card_leadgen_form_by_id","TestCardLeadGenFormById","","","POST /Cards -> POST leadGenForm -> GET /Cards/{cardID}/leadGenForms/{leadGenFormID} -> DELETE leadGenForm -> DELETE /Cards/{id}","
    /Cards/{cardID}/leadGenForms/{leadGenFormID}
    "
"passed","Sat May 23 23:46:08 UTC 2026","Sat May 23 23:46:09 UTC 2026","1421","tests.api.attachments","test_attachments_flow","TestAttachments","","","POST /Attachments -> DELETE /Attachments/{id}","
    Проверки Attachments API с изображениями, сгенерированными в коде.
    "
"passed","Sat May 23 23:49:15 UTC 2026","Sat May 23 23:49:15 UTC 2026","699","tests.api.companies","test_companies_create_get_delete_flow_api","TestCompanyCreateGetDeleteFlow","","","POST /Companies -> GET /Companies/{id} -> DELETE /Companies/{id}","
    /Companies
    "
"passed","Sat May 23 23:45:13 UTC 2026","Sat May 23 23:45:14 UTC 2026","1147","tests.api.account_actions","test_account_actions_smoke","TestAccountActionsSmoke","","","013 SubscriptionInvitation smoke — random push_token → not 5xx",""
"passed","Sat May 23 23:47:28 UTC 2026","Sat May 23 23:47:30 UTC 2026","1459","tests.api.cards","test_cardlinks_download_v2","TestCardLinksDownloadV2","","","POST /Cards -> GET /cardLinks/{cardLink}/card/download/V2 -> DELETE /Cards/{id}","
    /cardLinks/{cardLink}/card/download/V2
    "
"passed","Sat May 23 23:48:54 UTC 2026","Sat May 23 23:48:55 UTC 2026","909","tests.api.cards","test_cards_list","TestCardsList","","","GET /Cards returns cards list","
    Проверки списков /Cards и /Cards/v2.0.
    "
"passed","Sat May 23 23:46:07 UTC 2026","Sat May 23 23:46:08 UTC 2026","643","tests.api.applications","test_applications_list","TestApplicationsList","","","GET /Applications returns applications list","
    /Applications
    "
"passed","Sat May 23 23:51:46 UTC 2026","Sat May 23 23:51:47 UTC 2026","642","tests.api.powerbi_reports","test_powerbi_reports_list","TestPowerBIReportsList","","","GET /powerbireports/ without auth -> 401/403","
    GET /powerbireports/
    "
"passed","Sat May 23 23:46:04 UTC 2026","Sat May 23 23:46:05 UTC 2026","857","tests.api.accounts","test_accounts_get","TestAccountsGet","","","GET /accounts/{id} returns account data","
    /accounts/{id}
    "
"passed","Sat May 23 23:47:12 UTC 2026","Sat May 23 23:47:14 UTC 2026","2175","tests.api.cards","test_cardlinks_by_id","TestCardLinksById","","","GET /Cards -> GET /cardlinks/{cardLink}","
    /cardlinks/{cardLink}
    "
"passed","Sat May 23 23:51:57 UTC 2026","Sat May 23 23:52:00 UTC 2026","3600","tests.e2e.company","test_company_create_withlogoandcolor_get_delete_flow","TestCompanyCreateWithLogoAndColorFlow","","","POST /Companies → list → upload logo → update → GET → upload bg → designsettings → GET → DELETE","/Companies — create, upload logo + background, set design, delete flow"
"passed","Sat May 23 23:51:44 UTC 2026","Sat May 23 23:51:45 UTC 2026","655","tests.api.metrics","test_metric_types","TestMetricTypes","","","GET /MetricTypes returns metric types list","
    /MetricTypes
    "
"passed","Sat May 23 23:51:40 UTC 2026","Sat May 23 23:51:42 UTC 2026","1689","tests.api.exports","test_exports_statistic","TestExportsStatistic","","","GET /Exports returns 200","
    /Exports
    "
"passed","Sat May 23 23:52:03 UTC 2026","Sat May 23 23:52:10 UTC 2026","7439","tests.e2e.employee","test_employee_invitation_add_copyincompany_delete_flow","TestEmployeeInvitationAddCopyInCompanyDeleteFlow","","","POST invitations x4 → list → copy cards → list in target → DELETE → absent in target","/Employee — create 4 via invitation, verify, copy cards to target company, verify, delete flow"
"passed","Sat May 23 23:47:37 UTC 2026","Sat May 23 23:47:39 UTC 2026","1408","tests.api.cards","test_cardlinks_short_card","TestCardLinksShortCard","","","POST /Cards -> GET /cardLinks/{cardLink}/short/card -> DELETE /Cards/{id}","
    /cardLinks/{cardLink}/short/card
    "
"passed","Sat May 23 23:46:12 UTC 2026","Sat May 23 23:46:12 UTC 2026","658","tests.api.attributes","test_attribute_by_id","TestAttributeById","","","GET /Attributes/{id} without auth → 401/403","
    /Attributes/{attributeID}
    "
"passed","Sat May 23 23:45:26 UTC 2026","Sat May 23 23:45:27 UTC 2026","1368","tests.api.accounts","test_accounts_card_get","TestAccountsCardGet","","","POST /Cards -> GET /Accounts/{accountID}/Cards/{cardID}","
    /Accounts/{accountID}/Cards/{cardID}
    /Accounts/{accountID}/Cards/{cardID}/V2
    "
"passed","Sat May 23 23:45:39 UTC 2026","Sat May 23 23:45:46 UTC 2026","6734","tests.api.accounts","test_accounts_card_leadgen_forms_custom_message_template","TestAccountsCardLeadGenFormsCustomMessageTemplate","","","PUT leadGenForm with CustomMessageTemplateID -> GET MessageTemplate","
    /Accounts/{accountID}/Cards/{cardID}/leadGenForms
    "
"passed","Sat May 23 23:49:13 UTC 2026","Sat May 23 23:49:14 UTC 2026","660","tests.api.client_tokens","test_client_tokens_get","TestClientTokensGet","","","GET /clientTokens returns current client token","
    /clientTokens
    "
"passed","Sat May 23 23:47:31 UTC 2026","Sat May 23 23:47:36 UTC 2026","4252","tests.api.cards","test_cardlinks_list","TestCardLinksList","","","GET /Cards -> GET /cardLinks?accountUriName=...","
    /cardLinks?accountUriName=...
    "
"passed","Sat May 23 23:49:18 UTC 2026","Sat May 23 23:49:20 UTC 2026","1884","tests.api.companies","test_companies_create_update_get_delete_flow_api","TestCompanyCreateUpdateGetDeleteFlow","","","POST /Companies -> PUT /Companies/{id} -> GET /Companies/{id} -> DELETE /Companies/{id}","
    /Companies
    "
"passed","Sat May 23 23:46:06 UTC 2026","Sat May 23 23:46:07 UTC 2026","645","tests.api.accounts","test_get_contact_by_id","","","","GET /accounts/contacts/{contactID}","
    /accounts/contacts/{contactID}
    "
"passed","Sat May 23 23:46:11 UTC 2026","Sat May 23 23:46:11 UTC 2026","642","tests.api.attribute_types","test_attribute_types_list","TestAttributeTypesList","","","GET /AttributeTypes returns dictionary","
    /AttributeTypes
    "
"passed","Sat May 23 23:49:05 UTC 2026","Sat May 23 23:49:07 UTC 2026","2203","tests.api.cards","test_cards_update_flow","TestCardsUpdateFlow","","","POST /Cards -> PUT /Cards/{id} -> GET /Cards/{id} -> DELETE /Cards/{id}","
    /Cards
    "
"passed","Sat May 23 23:51:36 UTC 2026","Sat May 23 23:51:39 UTC 2026","2655","tests.api.contacts","test_contacts_flow","TestContactsFlow","","","Create -> Get -> Update -> Delete contact",""
"passed","Sat May 23 23:45:19 UTC 2026","Sat May 23 23:45:22 UTC 2026","2492","tests.api.accounts","test_accounts_card_attribute_attachments","TestAccountsCardAttributeAttachments","","","POST card -> GET /accounts/{id}/cards/{cardId}/attributes/attachments -> DELETE","
    GET /accounts/{id}/cards/{cardId}/attributes/attachments
    "
"passed","Sat May 23 23:45:22 UTC 2026","Sat May 23 23:45:24 UTC 2026","2465","tests.api.accounts","test_accounts_card_attributes_list","TestAccountsCardAttributesList","","","POST /Accounts/{id}/Cards -> GET /accounts/{id}/cards/{cardId}/attributes/ -> DELETE","
    GET /accounts/{id}/cards/{cardId}/attributes/
    "
"passed","Sat May 23 23:51:39 UTC 2026","Sat May 23 23:51:39 UTC 2026","652","tests.api.cultures","test_cultures_list","TestCulturesList","","","GET /Cultures returns cultures list","
    /Cultures
    "
"passed","Sat May 23 23:47:09 UTC 2026","Sat May 23 23:47:10 UTC 2026","636","tests.api.cards","test_card_metrics","TestCardMetrics","","","POST /Cards -> GET /Cards/{id}/metrics -> DELETE /Cards/{id}","
    /Cards/{cardID}/metrics
    "
